epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.91022,1.55957,3.13118,1.61734,0.60138,0.13978,0.18722,0.10905,1.54175,2.79771,1.33172,0.000467977,0.000467977,0.000467977
2,8.46855,1.57568,2.46438,1.60292,0.20917,0.33342,0.17284,0.09428,1.2579,4.12703,1.19334,0.000934961,0.000934961,0.000934961
3,12.023,1.57993,2.4249,1.61599,0.12814,0.36523,0.11716,0.06319,1.64009,12.1082,1.51065,0.00139251,0.00139251,0.00139251
4,15.6629,1.59294,2.25593,1.59937,0.52601,0.26635,0.1531,0.08129,1.58139,3.20099,1.45832,0.00138656,0.00138656,0.00138656
5,19.4998,1.58292,2.22679,1.56325,0.56437,0.40032,0.24076,0.11574,1.4903,4.15482,1.40294,0.00137241,0.00137241,0.00137241
6,23.1648,1.5614,2.25633,1.5747,0.59772,0.28121,0.21231,0.0972,1.94421,3.19413,1.60399,0.00135826,0.00135826,0.00135826
7,26.5838,1.47134,2.14475,1.53745,0.75809,0.25359,0.29681,0.11906,1.67017,3.37712,1.62002,0.00134412,0.00134412,0.00134412
8,30.1125,1.45034,2.08016,1.51048,0.63337,0.30463,0.25333,0.12574,1.75541,3.45278,1.44319,0.00132997,0.00132997,0.00132997
9,33.7885,1.44243,2.02107,1.50394,0.60687,0.32695,0.23894,0.11717,1.38458,4.96222,1.41558,0.00131582,0.00131582,0.00131582
10,37.3518,1.40586,2.07123,1.4781,0.49209,0.38756,0.19036,0.0844,1.85465,3.7052,1.52618,0.00130168,0.00130168,0.00130168
11,40.9095,1.40729,1.96744,1.47928,0.25743,0.26635,0.18972,0.08554,1.5538,3.55833,1.38578,0.00128753,0.00128753,0.00128753
12,44.5925,1.44321,1.95781,1.50035,0.24303,0.29665,0.27508,0.18886,1.3887,2.38694,1.31715,0.00127338,0.00127338,0.00127338
13,48.1953,1.40617,1.93365,1.45635,0.68284,0.33065,0.27016,0.1508,1.56367,2.56221,1.43872,0.00125923,0.00125923,0.00125923
14,52.0094,1.3196,1.83243,1.40296,0.21772,0.44019,0.25182,0.13312,1.43401,3.00015,1.28894,0.00124509,0.00124509,0.00124509
15,56.363,1.3406,1.82242,1.41733,0.60882,0.27187,0.26387,0.1596,1.50978,3.0428,1.37741,0.00123094,0.00123094,0.00123094
16,60.1938,1.3187,1.81122,1.39246,0.27095,0.35726,0.24922,0.12507,1.47577,2.22169,1.28591,0.00121679,0.00121679,0.00121679
17,63.9227,1.29528,1.74434,1.39841,0.45183,0.30144,0.15675,0.0815,1.57995,4.72971,1.5466,0.00120265,0.00120265,0.00120265
18,67.8471,1.31901,1.81348,1.40258,0.66285,0.23246,0.24989,0.14225,1.57347,2.15139,1.38413,0.0011885,0.0011885,0.0011885
19,71.5928,1.2388,1.72703,1.37312,0.39002,0.33675,0.33189,0.15792,1.38019,4.20205,1.25854,0.00117435,0.00117435,0.00117435
20,75.2942,1.27523,1.74438,1.38717,0.55819,0.488,0.28773,0.13615,1.64195,2.96256,1.38097,0.00116021,0.00116021,0.00116021
21,78.8693,1.27668,1.67131,1.40813,0.56878,0.32575,0.20709,0.08294,1.85129,3.20216,1.60334,0.00114606,0.00114606,0.00114606
22,82.9996,1.28426,1.69387,1.39354,0.19465,0.35885,0.20349,0.10015,1.5613,2.99554,1.5616,0.00113191,0.00113191,0.00113191
23,87.2593,1.24896,1.70434,1.37296,0.60561,0.38437,0.25065,0.12662,1.36216,2.15946,1.26911,0.00111776,0.00111776,0.00111776
24,90.9741,1.25954,1.62119,1.38327,0.28928,0.37334,0.3092,0.17646,1.49755,2.20701,1.33162,0.00110362,0.00110362,0.00110362
25,94.5902,1.24102,1.60494,1.3526,0.41446,0.26227,0.25074,0.12927,1.48824,3.14434,1.38059,0.00108947,0.00108947,0.00108947
26,98.4084,1.28365,1.58325,1.38832,0.60678,0.26635,0.22507,0.13475,1.56309,3.09529,1.41067,0.00107532,0.00107532,0.00107532
27,102.284,1.20674,1.61598,1.33304,0.61561,0.32695,0.28748,0.16479,1.52721,3.23639,1.24524,0.00106118,0.00106118,0.00106118
