epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.89249,1.40493,2.95424,1.57174,0.68856,0.27667,0.36135,0.19062,1.47639,2.75263,1.47817,0.000547118,0.000547118,0.000547118
2,12.6045,1.46941,2.3766,1.55112,0.49963,0.46818,0.42436,0.14774,1.96482,4.81399,1.83595,0.00109187,0.00109187,0.00109187
3,18.1605,1.48499,2.47784,1.62921,0.2653,0.40303,0.26136,0.09686,1.98618,7.40242,2.11469,0.00162561,0.00162561,0.00162561
4,23.9963,1.57744,2.3613,1.68438,0.66663,0.46061,0.44741,0.21714,1.83524,3.35762,1.71287,0.00161749,0.00161749,0.00161749
5,29.7531,1.49298,2.18869,1.60269,0.35845,0.44435,0.2822,0.14591,1.64618,4.73626,1.62477,0.00160099,0.00160099,0.00160099
6,35.5285,1.48366,2.06803,1.62205,0.43419,0.49394,0.48442,0.23684,1.57504,3.03216,1.55766,0.00158448,0.00158448,0.00158448
7,41.3055,1.48856,2.00891,1.58154,0.77095,0.55877,0.60033,0.20735,1.88445,3.50223,1.86989,0.00156798,0.00156798,0.00156798
8,47.1147,1.44714,1.81396,1.56679,0.37702,0.57727,0.43425,0.19115,1.77078,3.23215,1.70487,0.00155148,0.00155148,0.00155148
9,52.9941,1.44942,1.81091,1.57804,0.67718,0.47727,0.50687,0.26657,1.64878,2.70786,1.60544,0.00153497,0.00153497,0.00153497
10,58.9309,1.39546,1.69834,1.53063,0.66009,0.70909,0.70653,0.37031,1.52486,1.9626,1.56236,0.00151847,0.00151847,0.00151847
11,64.7195,1.35277,1.57813,1.48202,0.68351,0.63485,0.66631,0.34072,1.63957,1.49893,1.54728,0.00150197,0.00150197,0.00150197
12,70.7187,1.39423,1.59337,1.49778,0.74164,0.48268,0.58969,0.29939,1.72998,1.9293,1.61905,0.00148546,0.00148546,0.00148546
13,76.5483,1.30366,1.48472,1.45236,0.821,0.73577,0.74981,0.37012,1.74585,1.543,1.69855,0.00146896,0.00146896,0.00146896
14,82.4385,1.36325,1.51891,1.48958,0.85874,0.5729,0.75892,0.40331,1.67826,1.319,1.56233,0.00145246,0.00145246,0.00145246
15,88.3029,1.3236,1.45329,1.44875,0.6887,0.76713,0.75582,0.39408,1.56191,1.27967,1.44769,0.00143595,0.00143595,0.00143595
16,94.2334,1.33172,1.42844,1.47585,0.61493,0.69242,0.68645,0.36061,1.64815,1.91687,1.55806,0.00141945,0.00141945,0.00141945
17,100.388,1.2766,1.40184,1.45354,0.66381,0.82299,0.79732,0.42979,1.6476,1.55593,1.55037,0.00140295,0.00140295,0.00140295
18,106.395,1.30755,1.45978,1.45037,0.83684,0.67992,0.79258,0.4673,1.50983,1.4837,1.42614,0.00138644,0.00138644,0.00138644
19,112.226,1.28238,1.34062,1.43784,0.94813,0.52727,0.69868,0.38957,1.69835,1.64113,1.65626,0.00136994,0.00136994,0.00136994
20,118.044,1.28021,1.30622,1.41835,0.85809,0.66644,0.8405,0.41668,1.73937,1.32726,1.55088,0.00135344,0.00135344,0.00135344
21,124.468,1.2716,1.34013,1.40345,0.72357,0.85909,0.82877,0.44316,1.59557,1.18591,1.49934,0.00133693,0.00133693,0.00133693
22,130.75,1.2515,1.2886,1.40815,0.76521,0.72035,0.78146,0.46093,1.43266,1.30694,1.35273,0.00132043,0.00132043,0.00132043
23,136.965,1.22377,1.2478,1.39047,0.88543,0.74242,0.86548,0.5144,1.3958,1.07742,1.38687,0.00130393,0.00130393,0.00130393
24,142.968,1.23814,1.23082,1.40732,0.91473,0.68534,0.83725,0.46789,1.53167,1.22409,1.46811,0.00128742,0.00128742,0.00128742
25,149.002,1.18688,1.17996,1.38767,0.82525,0.82008,0.88008,0.52766,1.4177,0.99474,1.35496,0.00127092,0.00127092,0.00127092
26,155.04,1.21241,1.24496,1.38862,0.75388,0.76818,0.77723,0.41195,1.52745,1.71985,1.45541,0.00125442,0.00125442,0.00125442
27,161.26,1.16249,1.10124,1.3468,0.9701,0.7636,0.89966,0.48302,1.53061,1.07356,1.46276,0.00123791,0.00123791,0.00123791
28,167.746,1.14563,1.10169,1.33656,0.87799,0.79619,0.88961,0.51918,1.476,1.05091,1.4009,0.00122141,0.00122141,0.00122141
29,173.888,1.17644,1.10311,1.36833,0.90086,0.82431,0.90322,0.53678,1.41117,0.94219,1.37787,0.00120491,0.00120491,0.00120491
30,180.172,1.15969,1.1545,1.38026,0.92012,0.73014,0.86744,0.50824,1.43225,0.99858,1.3808,0.0011884,0.0011884,0.0011884
31,186.379,1.15083,1.10665,1.33848,0.83619,0.83698,0.87374,0.5558,1.39411,0.87773,1.28942,0.0011719,0.0011719,0.0011719
32,192.552,1.16813,1.15112,1.34084,0.87882,0.79242,0.84697,0.51943,1.37337,0.98327,1.30027,0.0011554,0.0011554,0.0011554
33,198.697,1.12383,1.05885,1.30645,0.93282,0.73573,0.82938,0.51952,1.40547,1.08535,1.31505,0.00113889,0.00113889,0.00113889
34,205.139,1.20798,1.13847,1.34473,0.94857,0.70909,0.8602,0.51267,1.43912,1.10979,1.39179,0.00112239,0.00112239,0.00112239
35,211.531,1.10077,1.03215,1.29804,0.8661,0.86272,0.912,0.54628,1.3337,0.95005,1.29191,0.00110589,0.00110589,0.00110589
36,217.769,1.08136,1.03166,1.3112,0.79113,0.81798,0.86549,0.55426,1.41053,0.86774,1.33317,0.00108938,0.00108938,0.00108938
