epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.72719,1.49086,3.20143,1.7665,0.88107,0.19143,0.29989,0.15369,1.4743,2.65145,1.65264,0.000365329,0.000365329,0.000365329
2,14.4452,1.44531,2.48491,1.72037,0.5956,0.38537,0.43451,0.18771,1.70289,6.25684,1.99458,0.000728379,0.000728379,0.000728379
3,21.1601,1.48753,2.41983,1.75491,0.69362,0.34887,0.3357,0.14743,1.69263,5.12759,2.19703,0.0010841,0.0010841,0.0010841
4,27.902,1.47492,2.32452,1.7482,0.74946,0.41744,0.40967,0.22512,1.48915,1.99702,1.70821,0.001078,0.001078,0.001078
5,34.7207,1.44428,2.26378,1.70556,0.61002,0.31458,0.36556,0.19054,1.64512,1.97636,1.80686,0.001067,0.001067,0.001067
6,41.331,1.44404,2.20665,1.71703,0.50177,0.38513,0.34675,0.14834,1.88056,2.18412,2.26631,0.00105601,0.00105601,0.00105601
7,48.41,1.38125,2.05411,1.67395,0.60333,0.39981,0.43303,0.20957,1.55317,1.91042,1.82085,0.00104501,0.00104501,0.00104501
8,55.3072,1.42293,2.03335,1.68826,0.55472,0.46315,0.45229,0.23642,1.45973,1.69934,1.6497,0.00103401,0.00103401,0.00103401
9,62.4556,1.38248,1.95807,1.6456,0.50981,0.48462,0.4512,0.26009,1.43159,1.65035,1.63986,0.00102301,0.00102301,0.00102301
10,69.2607,1.36446,1.89476,1.63594,0.64637,0.53054,0.51108,0.31758,1.27662,1.65298,1.48444,0.00101201,0.00101201,0.00101201
11,76.4037,1.32625,1.818,1.60498,0.60332,0.50947,0.59088,0.32275,1.4377,1.44105,1.58592,0.00100101,0.00100101,0.00100101
12,83.625,1.35582,1.79128,1.61289,0.4898,0.71037,0.6101,0.31707,1.59503,1.46749,1.76054,0.000990012,0.000990012,0.000990012
13,90.6852,1.28231,1.65677,1.57134,0.43969,0.44887,0.46699,0.23619,1.65014,1.57576,1.96007,0.000979013,0.000979013,0.000979013
14,97.8433,1.30375,1.70558,1.59643,0.60298,0.82433,0.6613,0.36644,1.48218,1.44469,1.65579,0.000968014,0.000968014,0.000968014
15,105.428,1.2691,1.65144,1.56816,0.51732,0.47291,0.42019,0.21028,1.66535,2.20092,1.79674,0.000957015,0.000957015,0.000957015
16,112.506,1.27439,1.61814,1.58235,0.53921,0.50753,0.5327,0.29393,1.3985,1.34185,1.56776,0.000946016,0.000946016,0.000946016
17,119.583,1.28201,1.62659,1.55506,0.83913,0.56483,0.7264,0.3782,1.50044,1.2601,1.67363,0.000935018,0.000935018,0.000935018
18,126.95,1.28116,1.59574,1.58097,0.4961,0.69651,0.58803,0.34787,1.35815,1.26839,1.53209,0.000924019,0.000924019,0.000924019
19,134.285,1.21611,1.51407,1.52499,0.55438,0.71333,0.58689,0.34904,1.45821,1.36231,1.64332,0.00091302,0.00091302,0.00091302
20,141.315,1.21137,1.51213,1.529,0.56008,0.52962,0.59426,0.3293,1.42577,1.24107,1.59689,0.000902021,0.000902021,0.000902021
21,148.393,1.23396,1.48867,1.5173,0.56751,0.8145,0.71736,0.44999,1.38261,1.18993,1.60447,0.000891022,0.000891022,0.000891022
22,155.652,1.21277,1.49903,1.51248,0.56639,0.55059,0.57537,0.35665,1.31021,1.27988,1.45236,0.000880023,0.000880023,0.000880023
23,162.976,1.19922,1.4618,1.51689,0.53402,0.87862,0.60007,0.36784,1.26031,1.16965,1.44007,0.000869024,0.000869024,0.000869024
24,170.243,1.16548,1.48651,1.47746,0.57347,0.92397,0.69645,0.42869,1.42253,1.02118,1.5532,0.000858025,0.000858025,0.000858025
25,177.452,1.19805,1.48738,1.5187,0.65092,0.68483,0.65983,0.36734,1.61305,1.23969,1.75714,0.000847026,0.000847026,0.000847026
26,184.87,1.19832,1.42594,1.51025,0.49684,0.75182,0.64795,0.38103,1.53193,1.0982,1.75593,0.000836027,0.000836027,0.000836027
27,192.148,1.17742,1.41086,1.48819,0.4993,0.5205,0.52672,0.29484,1.45796,1.42734,1.57363,0.000825029,0.000825029,0.000825029
28,199.272,1.16679,1.35654,1.48455,0.82206,0.60034,0.72537,0.45454,1.35123,1.13901,1.50424,0.00081403,0.00081403,0.00081403
29,207.151,1.16162,1.37351,1.47383,0.56961,0.82299,0.71443,0.41642,1.35979,1.10814,1.49065,0.000803031,0.000803031,0.000803031
30,215.176,1.14856,1.34481,1.46955,0.76485,0.51785,0.6001,0.3903,1.25461,1.07942,1.42275,0.000792032,0.000792032,0.000792032
31,223.266,1.14026,1.30662,1.45819,0.76486,0.57112,0.62837,0.34447,1.46348,1.22446,1.59234,0.000781033,0.000781033,0.000781033
32,231.314,1.14426,1.32774,1.47209,0.67137,0.88552,0.82438,0.49432,1.39898,0.98222,1.54222,0.000770034,0.000770034,0.000770034
33,238.977,1.07588,1.22791,1.42215,0.8129,0.59172,0.64214,0.37136,1.48487,1.05214,1.64642,0.000759035,0.000759035,0.000759035
34,246.301,1.12883,1.29949,1.45099,0.88939,0.70526,0.71703,0.40512,1.39684,0.91028,1.56971,0.000748036,0.000748036,0.000748036
